name,min,max,scale
W1,5,200,log
L1,1,10,log
W3,3,200,log
L3,0.5,10,log
W5,3,200,log
L5,1,10,log
W6,2,300,log
L6,0.15,5,log
W7,3,400,log
L7,0.5,10,log
Wbn,3,200,log
Lbn,1,10,log
Wbp,2,150,log
Lbp,0.5,10,log
Ibias,5e-6,3e-4,log
Cc,1,80,log
Rc,200,100000,log
